CONS_NO,FLAG,mean,median,trimmed_mean,std_dev,variance,cv,iqr,mad,min,max,range,percentile_5,percentile_95,zero_count,zero_ratio,longest_zero_streak,zero_streak_count,mean_abs_daily_change,std_abs_daily_change,max_abs_daily_change,unusually_large_changes_count,linear_trend_slope,trend_r2,early_vs_late_change,relative_trend,monthly_mean_1,monthly_std_1,monthly_mean_2,monthly_std_2,monthly_mean_3,monthly_std_3,monthly_mean_4,monthly_std_4,monthly_mean_5,monthly_std_5,monthly_mean_6,monthly_std_6,monthly_mean_7,monthly_std_7,monthly_mean_8,monthly_std_8,monthly_mean_9,monthly_std_9,monthly_mean_10,monthly_std_10,monthly_mean_11,monthly_std_11,monthly_mean_12,monthly_std_12,seasonal_variation,temporal_consistency,peak_to_average_ratio,high_consumption_day_count,high_consumption_day_ratio,peak_frequency
CONS_000001,0,27.491614148360956,27.447679055766187,27.50092223524378,3.802348040021356,14.457850617454245,0.13830937249418213,5.43173623845211,3.1046621956767466,14.63774537630074,37.77669706944098,23.138951693140235,21.34227365082897,33.54901569479151,0,0.0,0,0,2.840312039410216,3.615873617121655,11.995048280552762,7,-0.0024454899518289086,0.03685423987710179,-5.365331353463802,-0.19040092522157812,28.457773388747466,2.5673979830171607,29.778812047478656,2.539149384901184,31.288252408373125,2.511647968674355,30.93750568309028,2.4819420019708187,30.538741213009082,2.8591479711949814,28.62507005135862,2.6465522522294087,25.875440635586983,2.745890694404343,24.965547579183667,2.6784706292438583,24.11100014268193,2.377201931950986,23.23191680521843,2.6532435917339585,24.44285916055456,2.4756368840084266,26.385565238687796,2.3983544102695227,7.062243524066137,2.8916091917106947,1.374117048619212,66,0.06382978723404255,66
CONS_000002,0,28.95127236241151,29.064196422635177,28.94202779778662,3.914867245103807,15.326185546786672,0.13522262720874384,5.78560122169155,3.209739582196018,18.370385545022582,39.15108958188543,20.780704036862847,22.562213923842755,35.53998201343098,0,0.0,0,0,2.997396302145726,3.8128841397813065,11.854810111672794,8,-0.0019497741933822447,0.022100086994281454,-4.844487786448333,-0.16223455294126932,29.721685298483756,2.6628555394226563,31.9957462164818,2.613027118370243,32.296524352825514,2.561512193986406,32.727862874013425,2.8396088848245973,31.777724335399945,3.024438720050022,30.02267938811065,2.8254749381022677,27.94044256711778,2.7801995615591584,25.969204599452063,2.6045160864917163,25.3699911945357,2.9096377108017877,25.094639238535645,2.3152187069432713,26.100176326985537,2.6854394077698505,26.99665720022275,3.038231517467833,6.816015594400078,2.920952996768758,1.3523097617086755,72,0.06963249516441006,72
CONS_000003,0,23.781661550812903,23.809658395425657,23.790095667707885,3.5622033033271983,12.689292374235203,0.14978781637810412,5.54025358366215,2.9889765266782073,15.002918497742527,32.54387701153578,17.54095851379325,18.04519957278414,29.25572180970251,0,0.0,0,0,2.256218203130475,2.831267878440794,9.312786296948985,13,-0.0019385365805574951,0.02638578526362778,-5.101420987759965,-0.21072461972164552,24.436065326011622,2.15889490011957,26.887328826742028,2.1483347118029954,27.346377862979473,2.0960569570658527,27.74486587298786,1.7890054122874937,26.322247587489695,2.1051696693627173,25.04288505129392,2.0391901562196866,22.63859114323585,2.1988651365660394,20.77145126020457,1.9187123331473208,20.062870880010795,2.0167472672333555,19.551990017793003,2.0535801667039078,20.817444847296414,2.2396668340928754,22.573535043125197,2.3651255608993784,7.075496065987519,2.9962042743437207,1.3684441506980918,63,0.0609284332688588,63
CONS_000004,0,40.00856000491553,40.08114856185516,40.00201522936369,5.355506448965363,28.68144932490959,0.1338590120326341,7.080663709819262,4.272033887869698,24.237275683853724,59.31456146305396,35.07728577920024,31.096668187239462,48.99005542299575,0,0.0,0,0,4.974582003187013,6.341975264462857,21.800052901936972,5,-0.0017451639121619316,0.009460863596914226,-5.7031217590689,-0.1384504556088207,41.12431569024976,4.861839053655582,42.92556608046431,4.753718735051693,43.947074337077844,4.50267676053941,43.72087654488432,4.753939779491334,42.1987846429111,4.1415240533192375,41.03591440600318,4.79786046143393,38.47357553939881,4.222307715894097,37.227989079813746,4.545435943957366,36.105411364292685,3.919076897516277,36.283665354242,5.148368775254304,36.316215944304496,4.79027087305079,39.502222527572485,3.8916736085854615,7.0587736308178535,2.982649015977473,1.4825467343293468,70,0.06769825918762089,70
CONS_000005,0,16.64879351952073,16.83496446629806,16.663690211061233,2.9643365925397234,8.787291433870019,0.17805112490661323,5.292153175627485,2.601394076034219,9.401252171618747,23.16911059887788,13.767858427259132,12.146718897459955,21.00196483868519,0,0.0,0,0,1.0822179478514167,1.3642957126367379,4.397122921369469,9,-0.0020029063402557646,0.04067482366655151,-4.762022511789766,-0.26842075255005526,17.62608896749405,1.0319975766269185,19.230261685845587,1.0830945818076763,20.31206078047693,1.037407413537984,20.209636917365213,0.9932899504370821,19.460399196785097,1.1487863977899777,17.55476268917606,1.0860957863324583,15.455418335552146,1.1195339516344216,13.732136314960755,1.072508751176975,12.938788828769187,0.8842535721396836,12.841100869977463,1.0345899035980644,13.734919692247946,1.138819450704017,15.467890335109809,1.0406432827519356,6.892649694690281,2.866714246421211,1.3916389304770427,46,0.04448742746615087,46
CONS_000006,0,18.25267216840657,18.416835282125845,18.26507536718588,3.193247549049764,10.196829909512322,0.17494684310553124,5.424194602198689,2.7569075093208317,10.554150507731482,25.454422090154544,14.900271582423063,13.327359118656796,23.14980777764593,0,0.0,0,0,1.354212590001961,1.7229361697329557,5.478083296171198,9,-0.002039205721403153,0.03633426114502203,-4.41174921731141,-0.2323640410442322,19.157931133778177,1.404986186301433,20.935452664005748,1.4558064973723635,22.266614118623302,1.2694997334807134,22.115868815148097,1.1728627403053073,20.728558214279612,1.3568537062030097,19.27021414684198,1.6456597269745876,17.15819699023473,1.3419062111193707,15.370359380294458,1.415253747675956,14.259158639194036,1.310775358117026,14.270425881372413,1.2957285923136523,15.088443725829029,1.2421028687776499,17.13060696917366,1.3192813034533606,7.230150147339826,2.9949207579396613,1.3945585863123564,56,0.05415860735009671,56
CONS_000007,0,28.948298684016187,28.896811995099114,28.946450015920682,3.9481878286128307,15.5881871300065,0.13638755545952924,5.845661763184591,3.235837170915636,18.28592553472675,41.31302978995754,23.02710425523079,22.543775435898965,35.35956891685167,0,0.0,0,0,3.093055606751808,3.8863405463700533,12.31217755402028,7,-0.002023502415202258,0.02340298584191247,-5.731911797991405,-0.19068717666773383,30.13490753878524,2.5547807488814183,31.189661539840856,2.8794745283762047,32.50654360692177,2.6848508365302433,33.31669019985073,2.7680794084532305,31.32347209970534,3.0675976733344097,29.755214415032718,2.5031848237205923,27.430229898401347,2.988523020037944,26.069902232098816,2.8038694769524093,25.493893964663823,2.6841305188734705,25.04619660125732,2.6386733834461675,26.167861099115967,3.1025522357286035,27.772997306524143,3.1874651201346325,6.881283927167374,2.8796302039536097,1.4271314806364443,73,0.07059961315280464,73
CONS_000008,0,32.15733434827752,32.05110117707172,32.140265600664065,4.112489647493794,16.912571100743627,0.12788651805113185,5.766307348084151,3.325234545306427,17.70725068210689,44.38379923306601,26.67654855095912,25.423976702520058,38.934330299667835,0,0.0,0,0,3.398400134114338,4.2159962831157625,12.14453426419825,7,-0.0019308104969264384,0.019639439701767625,-4.776044980619282,-0.14269114991252466,33.337628200492134,3.0460448266177114,34.79792895883859,2.7541500898630695,35.68925900509685,2.9944728148878275,36.098757221644966,3.2521063966547965,34.433582652486315,3.177677528459536,33.0233699951108,3.0101596576484764,30.92211541479076,3.049301720242118,29.311118158706243,3.023534583907695,27.999042869805745,2.8374214350277684,28.396372224055288,3.149446986350382,29.341087133124418,2.724227758312504,31.540460565973515,3.288059203087861,6.916850750228569,2.8856746420333086,1.3802076183356213,70,0.06769825918762089,70
CONS_000009,0,18.72206955333947,18.906264986851237,18.759478654234854,3.1591057526867363,9.979949156658432,0.1687369857776358,5.575901095126007,2.734512153440993,11.459665288142723,25.66227529649773,14.202610008355006,13.634370950580944,23.40046682322047,0,0.0,0,0,1.373608842660295,1.7655801064955183,6.376296171887121,9,-0.0022452482588482666,0.045004903409546215,-4.851202206750198,-0.24931790421659708,19.617507078962173,1.4914924475291207,21.262700364028948,1.210485900281542,22.437717947095525,1.308810822022631,22.546032722884316,1.111092248630288,21.535369994049155,1.3246142025090084,19.792818153298676,1.52165853409269,17.73354623157132,1.450186075702301,15.73642428158956,1.4271272522338678,14.721412331758675,1.166552783844433,14.838928589026219,1.4066258528435431,15.788970742624027,1.340883967283908,17.36636176054854,1.449887832797519,7.138214117806466,2.954577073104279,1.370696431432918,46,0.04448742746615087,46
CONS_000010,0,16.32773122961911,16.497195433174888,16.34678713988378,2.971504180611706,8.829837095392847,0.18199123667776027,5.356630262594756,2.6149493244714965,10.0848620966241,22.59985114028489,12.51498904366079,11.858594434240342,20.640778782917895,0,0.0,0,0,1.0299948505186938,1.2871161280725962,4.010832230345763,6,-0.0019451292581699846,0.038177164402934616,-4.661232742911675,-0.26778820680359045,17.357734169652204,1.021411347542236,18.910541184122238,0.9543919733779048,20.041554849878324,0.9877951450250229,20.034365798947615,0.9265768217768211,18.945771958094006,1.064458709478948,17.21494120885907,1.0970142993692598,15.208084291055119,1.0779137808291832,13.389909933350449,0.894124825442934,12.54306547260454,0.96703070435075,12.462787719480932,1.0158877358642031,13.366971133180822,0.9902647751650245,15.255898315594662,1.2250184664628672,6.9531586142543045,2.889562731760882,1.3841390110065575,40,0.03868471953578337,40
