Feature,Normal_0_max,Normal_0_mean,Normal_0_median,Normal_0_min,Normal_0_std,Theft_1_max,Theft_1_mean,Theft_1_median,Theft_1_min,Theft_1_std,mean_diff,Standardized_Mean_Diff
cv,0.1996218812487935,0.14704746458260104,0.1405145349741807,0.1256362512202837,0.01634093604955861,2.463957891237838,0.9070368077416554,0.8339680086635751,0.3907293982993481,0.32244883830482635,0.7599893431590543,3.3289158301632886
early_vs_late_change,-1.8071607454273104,-4.875059123549031,-4.867107584642236,-8.250597055783707,0.7721921298328003,5.098279457015636,-14.345990288135058,-8.384573825019743,-41.61473363967352,13.225090442907716,-9.470931164586027,-1.0110437292222512
high_consumption_day_count,86.0,63.03589743589744,65.0,29.0,9.708781624623867,205.0,52.27407407407407,3.0,0.0,73.35971785269699,-10.761823361823367,-0.20567085430052634
high_consumption_day_ratio,0.0831721470019342,0.06096315032485241,0.0628626692456479,0.0280464216634429,0.00938953735456854,0.1982591876208897,0.050555197363707956,0.0029013539651837,0.0,0.07094750275889457,-0.010407952961144454,-0.20566679406345312
iqr,7.913583274933082,5.935153973022662,5.707560195174452,4.9623341134364445,0.651012509028013,40.70748248209144,21.609947355452036,23.41083988177676,0.0,12.610913058119506,15.674793382429375,1.7554656274049514
linear_trend_slope,-0.0006560660720835,-0.0020903420293803127,-0.0020919890742392,-0.0031935484421141,0.0003147083537938566,0.001600876300837,-0.014674179498403602,-0.0040827274543404,-0.0588057720325684,0.016299732681569534,-0.01258383746902329,-1.0915132463938002
longest_zero_streak,0.0,0.0,0.0,0.0,0.0,886.0,119.02222222222223,6.0,0.0,239.49030038834454,119.02222222222223,0.7028378169117708
mad,4.477182777389531,3.2908471921790357,3.195279571979796,2.5768597430971765,0.5127941476175472,20.317813048601987,11.509356808180119,10.997859982197747,2.796351784450591,4.253960781507205,8.218509616001082,2.7125749905624246
max,60.07002968897271,39.04006117708671,38.592742351091566,20.719343065733213,10.473353559599747,58.707260092469454,38.69660130137528,38.22146584554804,20.81525351786237,10.27181150373718,-0.34345987571143155,-0.0331107160798555
max_abs_daily_change,28.744398958458536,12.863203929788813,12.652848570004911,3.1699104666531284,5.466573591504323,55.68248482559139,32.18082830303635,31.79772350766876,10.01728560328577,11.404915670364474,19.317624373247536,2.160076037158975
mean,40.18776769583608,27.83916969364608,27.720124707239368,15.086247599733356,7.284077776429546,32.07120610089424,14.94405336662163,14.67782555134121,4.527659615080769,5.607137271916117,-12.895116327024452,-1.983889835895287
mean_abs_daily_change,5.269623526533073,2.936777877489767,2.9085186718519145,0.7971950843079191,1.209720588843987,21.28250462409509,7.801766744922111,7.430114739384729,0.3129438023729823,6.922251543231561,4.864988867432345,0.9790770339915665
median,40.36527515006303,27.911367548162737,27.744129845844697,15.225596062952055,7.2363594830258435,36.10859421039959,16.583102722140467,17.72688098875407,0.0,11.285066861191059,-11.32826482602227,-1.1950415368949898
min,26.57330782497737,16.402456979533895,16.353654448631495,8.066063914197972,4.230778765833176,7.767018225806109,1.0406023687306893,0.0,0.0,1.688759338233827,-15.361854610803206,-4.7690825871281834
monthly_mean_1,41.96327165789069,28.797110603700226,28.64362090964388,16.016592166107596,7.288350395719539,37.82972609282327,17.141013725093938,16.18497098783558,7.303924774931814,5.885220302827434,-11.656096878606288,-1.7596649913942597
monthly_mean_10,36.87626555130498,23.908770894569017,23.891532217356207,11.13239033295092,7.285355999108796,24.332893519199587,11.513738479776869,11.534180161788406,0.0,6.0862463901641926,-12.395032414792148,-1.8465236851747435
monthly_mean_11,38.944020194796536,24.938473078769622,24.87426382053276,12.121639035036257,7.286132239264384,33.756839374200844,12.850973234286243,12.963773952714265,0.0,7.181832553401212,-12.087499844483379,-1.6708893429824276
monthly_mean_12,39.99343597470427,26.72103864584466,26.66548295456437,13.742976984319537,7.292765209425378,35.56883638111912,13.512496058301435,13.521876457388698,0.0,7.669876594944471,-13.208542587543226,-1.7649754424345312
monthly_mean_2,43.63447996187696,30.52824041065523,30.462990127917905,17.69181697007866,7.295150416370828,39.88894009633061,17.746085304602953,17.038568193950297,7.795002501676906,5.928202655549048,-12.782155106052276,-1.923022056996609
monthly_mean_3,44.5442873379584,31.538006628340078,31.446282259421864,18.631213911488945,7.296128677157594,40.49326996886473,18.061938445069554,17.32734240323424,8.230278461546863,6.128975249864939,-13.476068183270524,-2.000047892643165
